index,utt_transcript_clean,response_transcript_clean,is_cr
2212889,it isn't back in.,what isn't back in?,
562590,I'm very hungry.,you're very hungry?,
336878,right there?,right there?,
2182750,I wanna play.,what do you wanna play with?,
171978,there we are.,what's this say?,
336911,with these stick.,really?,
2135865,what's happened to the road?,what's happened to it?,
2207000,why?,"you've had your bread, haven't you?",
456494,help me.,can you get down?,
566740,I don't want to.,yeah?,
353379,yummy.,what do you think?,
340973,good night to me?,good night to you are you going to sleep?,
2155592,but this is doctor mummy.,"doctor mummy, is it?",
2192607,look.,did you do it?,
2148952,he runs away.,runs to the house of?,
241528,his spaceship?,"where is his spaceship, huh?",
2212479,I don't know.,was that naughty?,
4274029,I I won't.,you don't think so?,
459704,your stroller's still.,is he glad?,
174378,Gigi Alex in a car.,who's this?,
2170869,can you try and make it even bigger?,pardon?,
2197333,I want Calpol.,can I have some Calpol please?,
178400,this side.,no I think he where's the um fire extinguisher?,
2162745,which one?,pardon?,
2151897,why?,why?,
2191351,look.,what is it?,
460931,garlic!,can you taste it?,
4240895,no.,when he sings he takes his glasses off?,
2163686,and one for two four three four five six seven for Kate.,Kate?,
2164869,no.,Sarah next door?,
4273065,and who eat these?,what are those?,
177645,no.,why?,
516725,that's not too tall.,you want another piece of paper there?,
2184841,the bear's asleep.,the bear's asleep?,
2168098,can you do that?,throw that at the fish?,
4245232,mom mom?,hm?,
181556,yay.,can you make music with a drum?,
4236933,yeah.,yeah?,
505142,milk.,striped milk?,
2212250,yes.,yes?,
2199098,she's she's grandma's baby.,is she?,
2177711,I don't like pastie.,don't you?,
2172851,no.,you don't?,
349724,ribbit.,do you guys have a tadpool a tadpole at school?,
506663,there's one.,yep who's going to eat that carrot you or me?,
2193501,we've got to go this way.,why?,
337111,yeah.,and how old are you going to be on your birthday?,
175022,I like a little boy.,you like her hair style?,
2153147,we need the stick.,do we?,
169911,no.,then why are you scratching it?,
2194632,what?,might they?,
353471,guess what?,what?,
2167473,all animals.,all the animals are out?,
350442,look.,oh the Pachycephalosaurus wants to hold it?,
335424,and I have a Cassie toothbrush.,you do?,
347012,I want chocolate chip.,are you going to help me make the batter?,
174752,sorry.,where'd that go how are you Claire?,
2170689,I've got a tummy ache.,have you?,
4272173,you open it.,you wanna play with the farm?,
343506,who's that?,which?,
4271960,um this room.,that room?,
344900,and I got a boo boo on my arm.,really how djou get those boo boos?,
2194322,all the people are in there.,do you want the tree?,
569819,turn that louder.,"well, you know what?",
4245579,um and this hurts right now.,does it?,
2151825,I can't.,"it's a good ball, isn't it?",
4242225,there two of them.,you don't play with those at home very much do you?,
344259,yeah I do do that like him too.,really?,
167665,you help me.,do you know where these things go?,
2183816,can I do that?,is there something nice for supper that you'd like to eat as well?,
2125241,"have you have you had a long day, daddy?",sorry?,
328494,where's Georgia?,where's Georgia?,
340316,and it's a small eight.,whada you like in your beef stew with red wine?,
158034,my two!,would you like that one?,
4239035,cock a doodle doo.,doesn't that look like a fireman?,
2180063,some sweed.,do you like sweed?,
2139934,it's time for animals to play.,what are we going to play say the animals?,
2214290,I haven't I haven't got a cup for you.,haven't you?,
338192,what was else?,ah were they showing something else the Wild Thornberries?,
4238681,yeah.,you wanna open that one and I'll open this one?,
2195823,I want dinner please.,you want what?,
2207666,brown brown brown.,what about purple?,
560120,yeah.,what song?,
504764,yeah.,do you want some toast?,
2127571,pardon?,do you think the washing's ready yet?,
158464,green.,green?,
2141739,have?,please have what?,
338571,something over there.,something over where?,
451175,no.,oh we already went there?,
455755,to to to this.,this?,
463015,my kind.,your kind?,
2153371,I don't like that.,do you want some water in it?,
4277273,that's the mother.,that's for the mother?,
2144084,pour these out?,pour these out?,
337468,yeah.,yeah whadoes it do?,
2178728,off you go.,are they is this little boy with the pram going home?,
2127895,gooley.,does it?,
572118,this way.,do you wanna show Amanda your golf clubs?,
507908,yeah.,huh?,
349121,twinkle twinkle little star.,where's your twinkle?,
2190240,yes.,shall I?,
2129031,yes.,pardon?,
4276095,mhm.,how about the cows?,
341730,mommy?,mhm?,
4269515,yeah.,what do you think the horses would like to do for some exercise?,
4243095,why do you have that on?,why?,
186314,shake real fast shake real low.,did you do that one?,
163984,Mommy?,what sweetie?,
2152230,last one.,uhhuh?,
514978,Mom.,yeah?,
568015,huh?,what did you do at school yesterday?,
451532,yeah.,what's that duckling's name?,
2201413,just just for our eyes just go bump!,does it?,
2126930,pardon?,"haven't done inside here, have you?",
4241701,yeah.,what about the cow?,
4270603,uhoh no.,no?,
2137189,think over there.,do you?,
2145325,can't do it.,why not?,
2183313,let's just.,do you want blue or yellow?,
2149821,Polly Pocket.,can you pass me that lollipop please?,
2132023,happened.,what happened?,
358420,a dinosaur.,"a dinosaur, what's it doing there?",
2159717,I wanna stand up.,you wanna stand up?,
347708,is it a bug?,no a squid's not a bug right?,
347860,well the lobster will pinch.,whada you think?,
2188194,your drink's fallen down.,whose drink?,
350338,mom?,yes honey?,
570922,"here, let me put it on you.","oh, on my nose?",
330047,a clown.,you're right and what's Lily going to be?,
340249,what is it mommy?,remember when I put you in the car and you said the sweet smell of snow?,
2194178,no.,no?,
336594,Mom.,uh huh?,
4270523,uhhuh.,do you know that we're going to the church nursery today?,
2221251,my friend's called Losta.,is that a real friend or a pretend friend?,
4240893,no glasses on.,you don't want glasses on?,
242136,now.,"you know why the go under water, Ethan?",
2146917,she's watching out of the window.,is she?,
2133872,this going to be Amy's.,what about a hippo?,
450164,or here.,you mean the regular markers?,
4273678,um I think that's the girl's glasses.,oh you think so?,
2209726,no she doesn't.,why not?,
456484,yeah.,"what does that mean, you're hiding from the orange?",
325882,I love green frogs.,"oh yeah, great, what do you think Pocahontas is doing outside?",
162125,bone inside.,"bone on, you put it on the door?",
463591,I'm Claire this morning.,you're Claire this morning?,
455441,that's what I want.,you don't want the white one?,
2155002,my friend is bubby.,your friend?,
2196696,it's a road.,it's a road?,
2166334,stopping.,has it stopped?,
2213790,want it for my birthday.,you want what for your birthday?,
565873,I don't see inside.,where do you wanna sit?,
2186296,I don't like it.,why not?,
2207103,I want you to try if you can do.,what?,
571165,hey.,"here, you wanna put your shorts on?",
167069,"fruit, vegetables.",what's this?,
343949,uhoh.,what did you find?,
456624,the nursie doesn't look right.,is that so?,
2134185,I need to I need that one.,you want that one?,
2220668,because I want you to.,go over where?,
457789,Sleepy was going to have his his his heart checked.,oh does he need his heart checked?,
2207315,I want the other pencil.,what?,
466548,this is all tangled up.,you going to do it over again?,
350766,it will grow long.,really?,
464952,wait wait wait!,wait what?,
4244932,help.,need some help?,
2212974,it's burning.,pardon?,
2190962,no.,"she hasn't got any, has she?",
2131824,daddy's going to eat More Dadaw and granddad.,is he?,
459314,"Sleepy, you can go to a restaurant.",can we Mom?,
2201800,and a dog.,pardon?,
329444,no.,really?,
512012,a tree.,yep it's a branch right?,
162549,Mommy?,mm?,
4275833,a lip.,oh up on top of his head?,
2193993,helicopter.,aeroplane?,
161434,Mommy?,what honey?,
350720,dinosaurs never go to school.,they don't?,
458457,the the song at the gym.,how does he know what song is going to be there at the gym class?,
4270035,that's the lady.,the lady one?,
563032,loose.,they're loose huh?,
359329,you sing with.,can you help me?,
558583,no way backpack.,how about your pocket?,
2220845,where's your broken thing?,pardon?,
341624,me.,you?,
2128180,I'm nicking your seat.,you're nicking my seat?,
334110,not dinner.,a fish to go in the ocean?,
2160535,I done these.,is everything done?,
2195194,he's got a poorly leg.,has he?,
510459,maybe need socks.,socks and slippers?,
357074,no.,no?,
2215619,can you get the baby?,where is she?,
567780,he has stinky feets.,Simba has stinky feets?,
567746,want a pretzel.,pardon me?,
450777,I'm not going to do anything.,are you taking them out?,
4269696,uh he goes in here with the girl.,with the pig?,
2146881,she caught her leg.,she caught her leg?,
4246792,good.,if it's sunny out what does he wanna put on?,
2158927,yes.,who's that?,
2200001,what?,do you think she's got colic?,
4238845,now he has to get another one!,remember the movie when he kept losing his parts?,
559292,I don't know.,you don't know?,
334091,"but now it's still, make did, by.","what, Sweets?",
331122,doop doop doop doop doo.,"doop doop a doop a doop, is there a ring walking on my leg?",
347820,and I'll show her.,did you tell Amanda what your new turtle's name is?,
356180,where's um.,oh hello you want me to come in there?,
459859,I'm better!,are you ready to help with the broccoli?,
2128952,I don't know.,what's that?,
465993,hi.,"hi, what is your name?",
346640,no.,they live in Georgia?,
2140521,better wipe it now.,well do you want a tissue?,
2202820,yes.,there?,
504216,mine is off.,you want some breakfast?,
158007,this.,what is that?,
567008,yes.,"your coat, your hat, and gloves?",
2151806,pardon?,where do you think it is then?,
4268176,and these I put them I used to put them up here.,put them up there?,
4235309,ladies wear purses.,ladies wear purses?,
342300,can you put them together?,together?,
4271709,I don't know.,what does it look like to you?,
2189341,I'm at the bottom of the sea now.,you're at the bottom of the sea?,
512385,by my foot.,okay ready?,
572046,but no.,you don't want to?,
2158333,and that's it.,are we?,
570070,I can't.,you can't?,
454670,"where's the bed, where's the grown up doll bed?","it's that green one right there, isn't it?",
2137651,you have to be careful.,why?,
453309,what's this one called?,do you remember?,
2172556,pardon?,have we nicked it?,
450549,yeah.,what're you going to write down?,
2175454,shall we hide?,shall we hide?,
4246821,no no.,not on the man?,
175430,a big one Mom.,do you need more snakes?,
358395,Mama.,"mhm, should I put this down?",
464016,think it goes here.,or part of this ear?,
179632,oh no Mom what happened my necklace?,uh oh what happened?,
2215292,Lara.,and?,
507493,I'll do this.,"okay, how many bananas in the bowl?",
2166117,we sharing aeroplane.,sorry?,
2174359,because I'm poorly.,is he poorly?,
165434,this sits on the bag.,the bag full of what?,
337383,can you.,because see that big blob in there?,
344092,oh no.,I know can you believe it?,
515076,yeah.,wanna give her this too?,
507610,yeah.,okay which animal do you wanna do first?,
4245818,nope.,now what?,
514004,moss.,moss right how about this one?,
2209379,that's your ice cream.,I've got one?,
2221164,why did you go over there?,why or where?,
2168354,pardon?,can you put your toast in the bin if you've finished it?,
2176907,"this is a good idea to keep them, mummy!",what?,
326442,it's town.,oh in town?,
4273506,what do they like to eat?,what do chickens like to eat?,
2159442,here's a spider.,where?,
4269176,and a horsie says.,should we ride the horses today?,
4236773,um I want to talk to you.,what do you want to talk about?,
337148,yes.,how do they look?,
2131275,yummy yummy yum.,is that yummy yummy?,
2124772,I broked it.,you broked it?,
2145299,somebody's going to miss you.,who's going to miss me?,
2163484,and we will dice them.,dice them?,
2167088,there's another little baby.,is there?,
2177465,can we take neenaw.,"they've got loads of toys at Emily's, haven't they?",
358583,mhm.,where's little Pluto?,
2136914,I wanna give me some.,you wanna give you some?,
4235815,um.,are they sheep?,
4237571,um a pumpkin.,are those pumpkins?,
2180518,we're going to go on the swing first.,on the what?,
2146028,they're my babes.,"they're your babes, are they?",
2142574,there.,"where's your octopus gone, Amy?",
2132294,no.,do you wanna do some coloring?,
4268188,this is his mustache.,yeah what are these?,
573187,funny and trains are funny but trucks are not.,"ah, why aren't trucks funny?",
174317,oh look it's a smily face.,I know aren't they adorable?,
464763,what?,that they really call it when they're in a hospital?,
466297,guess what?,what?,
452452,and this is a Devon cow.,you going to hold it up so all the children can see it?,
179786,they match.,two purple flowers?,
2186248,why's Amy taking her Babygro off?,why is Amy taking her Babygro off?,
571815,"no, then you.",you don't wanna go to the zoo and see the animals?,
2176638,yes.,do you want some meat?,
4234969,a nose.,is that right?,
345689,yeah.,right?,
2211286,mhm.,yes?,
2213904,I want this one.,what's wrong with that Barbie?,
2182569,yes.,are you?,
2166935,because her haven't got any any.,pardon?,
4237161,um take the toys out.,we take the toys out?,
330040,yeah.,what's Trevor going to be?,
340347,uhhuh.,what kind of treats would you bring?,
239226,this one works.,does that one work?,
512304,mm mm yes.,can you make that shape?,
450718,pay me my money down.,you'll stop there?,
2208394,I've got a nappie.,"shall I change your nappie then, Lara?",
161593,Mommy?,what sweetheart?,
2132750,Henerina.,Henerina?,
465148,I'm making a bench.,a bench?,
559391,yes.,and what else?,
2174370,the pram.,"it's really nice, isn't it?",
4273776,okay.,now what did you do with the other ear?,
349836,in the backpack.,in the backpack what's she doing there?,
4270317,so he can eat them.,so the daddy can eat them?,
4270336,what?,what is it?,
2125744,where oven gloves?,pardon?,
560014,over here.,is it Old McDonald's?,
4237638,in the farm.,did the firemen go in the farm?,
2183487,but daddy did did some of it.,"daddy did some of it, did he?",
560980,okay.,okay?,
185459,where.,see it?,
2186180,you have to go walk without it then.,we'll have to go for a walk without it?,
2135541,I'm not.,aren't you?,
162972,Mommy?,yes?,
2148038,oh.,what happened?,
335999,"Mom, can you put that away?",mhm?,
2167293,only got two bricks.,pardon?,
2213842,I think it's a train set.,is it?,
4243025,well.,what's this?,
349257,I piggie back ride.,are you choking me?,
333219,it's an old green bean.,what is it doing there?,
4245360,and where does the horse go?,well where would you like the horse to go?,
2184186,my legs.,what about your legs?,
4243351,I wanna put the.,fence?,
2156572,daddy can touch my book.,can he?,
2168200,undoing my watch.,undoing your watch?,
2160402,can you can you the cups can go on here.,pardon?,
2173016,what is it?,what?,
2141242,no.,what's the matter then?,
355634,"no, Stewie Lily.",Stewie Lily?,
508760,yeah.,that note you made her?,
